Kanji,Reading,JLPT,Type,Meaning
['陰険'],[['いんけん']],1,['&adj-na;'],"['crafty', 'tricky', 'sly', 'wily', 'treacherous', 'underhand']"
['陰口'],[['かげぐち']],1,"['&n;', '&adj-no;']","['malicious gossip', 'backbiting', ""speaking ill behind someone's back""]"
['陰嚢'],"[['いんのう'], ['ふぐり']]",1,"['&adj-na;', '&adj-no;', '&n;']","['scrotum', 'testicles', 'scrotal']"
['隠密'],[['おんみつ']],1,"['&adj-na;', '&adj-no;']","['secret', 'clandestine', 'covert']"
['隠喩'],[['いんゆ']],1,"['&n;', '&adj-no;']",['metaphor']
['韻文'],[['いんぶん']],1,"['&n;', '&adj-no;']","['verse', 'poetry']"
['右派'],[['うは']],1,"['&n;', '&adj-no;']",['right wing']
['右翼'],"[['うよく'], ['ウヨク']]",1,"['&n;', '&adj-no;']",['right-wing (politics)']
['渦状'],[['かじょう']],1,"['&n;', '&adj-no;']",['spiral']
['栄養'],[['えいよう']],1,"['&n;', '&adj-no;']","['nutrition', 'nourishment']"
['栄養失調'],[['えいようしっちょう']],1,"['&n;', '&adj-no;']",['malnutrition']
['栄養不足'],[['えいようぶそく']],1,"['&n;', '&adj-no;']",['malnutrition']
['英雄的'],[['えいゆうてき']],1,['&adj-na;'],['heroic']
['疫学'],[['えきがく']],1,"['&n;', '&adj-no;']","['epidemiology', 'the study of epidemics']"
['厭世主義'],[['えんせいしゅぎ']],1,"['&n;', '&adj-no;']",['pessimism']
['円卓'],[['えんたく']],1,"['&n;', '&adj-no;']",['round table']
['円転滑脱'],[['えんてんかつだつ']],1,['&adj-na;'],"['suave', 'tactful', 'smooth']"
['円盤'],[['えんばん']],1,"['&n;', '&adj-no;']","['disk', 'discus', 'platter']"
['延髄'],[['えんずい']],1,"['&n;', '&adj-no;']",['medulla oblongata']
['沿海'],[['えんかい']],1,"['&n;', '&adj-no;']","['coast', 'shore', 'inshore', 'coastal waters']"
['沿岸'],[['えんがん']],1,"['&n;', '&adj-no;']","['coast', 'shore', 'littoral']"
['沿道'],[['えんどう']],1,"['&n;', '&adj-no;']","['roadside', 'wayside', 'route']"
['炎暑'],[['えんしょ']],1,"['&n;', '&adj-no;']","['heat wave', 'intense heat']"
['炎熱'],[['えんねつ']],1,"['&n;', '&adj-no;']",['sweltering heat']
['縁遠い'],[['えんどおい']],1,['&adj-i;'],"['unconnected', 'weakly related', 'alien', ""far beyond (one's means, ability)""]"
['縁者'],[['えんじゃ']],1,"['&n;', '&adj-no;']",['relative']
['艶かしい'],[['なまめかしい']],1,['&adj-i;'],"['charming', 'captivating', 'bewitching', 'seductive', 'coquettish']"
['艶やか'],[['あでやか']],1,['&adj-na;'],"['glamorous', 'charming', 'beguiling', 'bewitching', 'beautiful', 'fascinatingly elegant']"
['遠縁'],[['とおえん']],1,"['&n;', '&adj-no;']",['distant relative']
