Kanji,Reading,JLPT,Type,Meaning
['可き'],[['べき']],2,['&aux;'],"['should', 'must', 'that one ought to', 'to be done']"
['可い'],[['べい']],2,['&aux;'],"['word used at sentence-end (like a particle) to indicate speculation, volition or invitation']"
