Kanji,Reading,JLPT,Type,Meaning
['お出でになる'],[['おいでになる']],5,"['&exp;', '&v5r;']",['to be']
['お見えになる'],[['おみえになる']],5,"['&exp;', '&v5r;']",['to arrive']
['ことが出来る'],[['ことができる']],5,"['&exp;', '&v1;']","['to be able (to)', 'to be possible (to)']"
['さらけ出す'],[['さらけだす']],5,"['&v5s;', '&vt;']","['to expose', 'to disclose', 'to lay bare', 'to confess']"
['じっと見る'],[['じっとみる']],5,"['&exp;', '&v1;']","['to watch steadily', 'to stare']"
['じろじろ見る'],"[['じろじろみる'], ['ジロジロみる']]",5,"['&exp;', '&v1;']","['to stare at', 'to look hard at', 'to look up and down', 'to scrutinize', 'to scrutinise']"
['ずばずば言う'],[['ずばずばいう']],5,"['&exp;', '&v5u;']","[""to speak one's mind"", 'to speak very frankly']"
['たくし上げる'],[['たくしあげる']],5,['&v1;'],"['to roll up or pull up (sleeves, skirt, etc.)']"
['手こずる'],[['てこずる']],5,['&v5r;'],"['to have much trouble', 'to have a hard time', 'to not know how to handle']"
['出来るようになる'],[['できるようになる']],5,"['&exp;', '&v5r;']","['to become possible', 'to become able to (do)']"
['とやかく言う'],[['とやかくいう']],5,"['&exp;', '&v5u;']","['to say all kinds of things', 'to complain', 'to find fault (with)']"
['言える'],[['いえる']],5,['&v1;'],"['to be possible to say', 'to be able to say']"
['と言われる'],[['といわれる']],5,"['&exp;', '&v1;']","['to be called ...', 'to be referred to as ...']"
['ぶら下がる'],[['ぶらさがる']],5,"['&v5r;', '&vi;']","['to hang down (from)', 'to dangle', 'to swing', 'to be suspended']"
['ぶら下げる'],[['ぶらさげる']],5,"['&v1;', '&vt;']","['to hang', 'to suspend', 'to dangle', 'to swing', 'to carry']"
['ほそぼそ話す'],[['ほそぼそはなす']],5,['&v5s;'],['to speak slowly and quietly']
['ぼりぼり食べる'],[['ぼりぼりたべる']],5,"['&exp;', '&v1;']",['to eat with a munching or crunching sound']
['まくり上げる'],[['まくりあげる']],5,['&v1;'],"['to tuck (e.g. sleeves)', 'to roll up']"
['まじまじと見る'],[['まじまじとみる']],5,"['&exp;', '&v1;']","['to take a long hard look at', 'to look (someone) full in the face']"
['やって来る'],[['やってくる']],5,"['&exp;', '&vk;']","['to come along', 'to come around', 'to turn up']"
['ピンと来る'],"[['ピンとくる'], ['ぴんとくる']]",5,"['&exp;', '&vk;']","['to get (a joke or explanation)', 'to strike home', 'to click', 'to know intuitively']"
['メスを入れる'],[['メスをいれる']],5,"['&exp;', '&v1;']","['to put the scalpel to', 'to perform an operation on']"
['こき下ろす'],[['こきおろす']],5,"['&v5s;', '&vt;']","['to denounce', 'to disparage', 'to lambast', 'to abuse']"
['粟立つ'],[['あわだつ']],5,"['&v5t;', '&vi;']",['to have gooseflesh (e.g. from cold or horror)']
['安んじる'],[['やすんじる']],5,"['&v1;', '&vi;']","['to be contented', 'to be at ease']"
['安臥'],[['あんが']],5,"['&n;', '&vs;']",['quiet rest']
['安堵'],[['あんど']],5,"['&n;', '&vs;', '&adj-no;']","['relief', 'reassurance']"
['一気に飲む'],[['いっきにのむ']],5,"['&exp;', '&v5m;']",['to drink in one gulp']
['一休み'],[['ひとやすみ']],5,"['&n;', '&vs;']","['(short) rest', 'breather', 'break']"
['一見'],[['いっけん']],5,"['&n;', '&vs;']","['look', 'glimpse', 'glance']"
['一蹴'],[['いっしゅう']],5,"['&n;', '&vs;']","['flatly rejecting', 'curtly refusing', 'brushing aside']"
['一蹴り'],[['ひとけり']],5,"['&n;', '&vs;']",['kick']
['一新'],[['いっしん']],5,"['&n;', '&vs;']","['complete change', 'reform', 'restoration', 'remodeling', 'remodelling', 'renewal']"
['一人前になる'],[['いちにんまえになる']],5,"['&exp;', '&v5r;']","['to come of age', 'to become an adult', 'to become fully qualified', ""to stand on one's own""]"
['一閃'],[['いっせん']],5,"['&n;', '&vs;']","['flash', 'brandish']"
['一読'],[['いちどく']],5,"['&n;', '&vs;']","['perusal', 'one reading']"
['一瞥'],[['いちべつ']],5,"['&n;', '&vs;']","['(a) glance', '(a) look']"
['一本立ち'],[['いっぽんだち']],5,"['&n;', '&vs;']",['independence']
['一目惚れ'],[['ひとめぼれ']],5,"['&n;', '&vs;']","['love at first sight', 'being taken with someone at the first meeting']"
['溢れ出る'],[['あふれでる']],5,['&v1;'],['to overflow from something full']
['溢水'],[['いっすい']],5,"['&n;', '&vs;']","['inundation', 'overflow']"
['飲み下す'],[['のみくだす']],5,"['&v5s;', '&vt;']","['to swallow', 'to gulp down']"
['飲み食い'],[['のみくい']],5,"['&n;', '&vs;']","['food and drink', 'eating and drinking']"
['飲む'],[['のむ']],5,"['&v5m;', '&vt;']","['to drink', 'to gulp', 'to swallow', 'to take (medicine)']"
['飲んだくれる'],[['のんだくれる']],5,"['&v1;', '&vi;']","['to get dead drunk', 'to get blind drunk']"
['飲食'],"[['いんしょく'], ['おんじき']]",5,"['&n;', '&vs;']","['food and drink', 'eating and drinking']"
['雨乞い'],[['あまごい']],5,"['&n;', '&vs;']",['praying for rain']
['円高'],[['えんだか']],5,"['&n;', '&vs;']","['appreciation of the yen', 'strong yen', 'strengthening of the yen', 'high-valued yen', 'exchange in favor of the yen (favour)']"
['下がる'],[['さがる']],5,"['&v5r;', '&vi;']","['to come down', 'to go down', 'to fall', 'to drop', 'to sink', 'to get lower']"
['下げる'],[['さげる']],5,"['&v1;', '&vt;']","['to hang', 'to suspend', 'to wear (e.g. decoration)']"
['下さる'],[['くださる']],5,['&v5aru;'],"['to give', 'to confer', 'to bestow']"
['下す'],[['くだす']],5,"['&v5s;', '&vt;']","['to make a decision', 'to draw a conclusion']"
['下り立つ'],[['おりたつ']],5,"['&v5t;', '&vi;']",['to go down and stand']
['下る'],[['くだる']],5,"['&v5r;', '&vi;']","['to descend', 'to go down', 'to come down']"
['下火になる'],[['したびになる']],5,"['&exp;', '&v5r;']","['to be under control', 'to burn down', 'to decline', 'to drop', 'to wane']"
['下見'],[['したみ']],5,"['&n;', '&vs;']","['preliminary inspection', 'having a look in advance']"
['下校'],[['げこう']],5,"['&n;', '&vs;']",['coming home from school']
['下阪'],[['げはん']],5,"['&n;', '&vs;']",['proceeding from Tokyo to Osaka']
['下山'],"[['げざん'], ['げさん']]",5,"['&n;', '&vs;']",['descending (mountain)']
['下車'],[['げしゃ']],5,"['&n;', '&vs;']","['alighting (from a train, bus, etc.)', 'getting off', 'getting out (of a car)']"
['下書き'],[['したがき']],5,"['&n;', '&vs;']","['draft', 'rough copy']"
['下剃り'],[['したぞり']],5,"['&n;', '&vs;']","[""barber's apprentice""]"
['下読み'],[['したよみ']],5,"['&n;', '&vs;']","['preparatory reading', 'preparation (for a lesson)', 'reading through (e.g. a script)', 'rehearsal (of a play)']"
['下聞'],[['かぶん']],5,"['&n;', '&vs;']","['enquiring beforehand', 'inquiring beforehand']"
['下ごしらえ'],[['したごしらえ']],5,"['&n;', '&vs;']","['preliminary arrangements', 'preparation', 'spadework', 'pre-cooking']"
['下瞰'],[['かかん']],5,"['&n;', '&vs;']","['looking down on', ""getting a bird's-eye view""]"
['火食'],[['かしょく']],5,"['&n;', '&vs;']",['eating cooked food']
['花見'],[['はなみ']],5,"['&n;', '&vs;']","['cherry blossom viewing', 'flower viewing']"
['苛立つ'],[['いらだつ']],5,"['&v5t;', '&vi;']","['to be irritated', 'to get annoyed', ""to lose one's patience""]"
['苛立てる'],[['いらだてる']],5,"['&v1;', '&vt;']","['to irritate', 'to exasperate']"
['会う'],[['あう']],5,"['&v5u;', '&vi;']","['to meet', 'to encounter', 'to see']"
['会わせる'],[['あわせる']],5,"['&v1;', '&vt;']","['to make (someone) to meet', 'to let (someone) meet']"
['会飲'],[['かいいん']],5,"['&n;', '&vs;']",['drinking and carousing together']
['会見'],[['かいけん']],5,"['&n;', '&vs;']","['interview', 'audience', 'meeting', '(viewing) party']"
