Kanji,Reading,JLPT,Type,Meaning
['嬰'],[['えい']],100,"['&n;', '&pref;']",['sharp']
['僻'],[['ひが']],100,['&pref;'],"['evil', 'untrue', 'erroneous']"
['襤褸'],"[['ぼろ'], ['らんる'], ['ボロ']]",100,"['&n;', '&pref;']","['rag', 'scrap', 'tattered clothes']"
['曾'],"[['ひい'], ['ひ'], ['そう']]",100,['&pref;'],"['great (i.e. great-grandson, great-grandmother)']"
['汎'],[['はん']],100,['&pref;'],['pan-']
['鞣'],[['なめし']],100,['&pref;'],['tanning']
['仄'],[['ほの']],100,['&pref;'],"['slight', 'dim', 'faint']"
['炸'],[['ザー']],100,['&pref;'],['deep-fried']
