Kanji,Reading,JLPT,Type,Meaning
['論う'],[['あげつらう']],2,"['&v5u;', '&vt;']",['to discuss']
['お座なりになる'],[['おざなりになる']],2,"['&exp;', '&v5r;']",['to not be taken seriously']
['お供'],[['おとも']],2,"['&n;', '&vs;']","['attendant', 'companion']"
['お寝小'],"[['おねしょ'], ['オネショ']]",2,"['&n;', '&vs;']",['bed-wetting']
['格好つける'],"[['かっこうつける'], ['かっこつける']]",2,['&v1;'],"['to affect a stylish air', 'to try to look good', 'to show off']"
['かんかん怒る'],[['かんかんおこる']],2,['&v5r;'],['to get very mad']
['ゲンを担ぐ'],"[['ゲンをかつぐ'], ['げんをかつぐ']]",2,"['&exp;', '&v5g;']",['to be superstitious']
['吃逆'],[['しゃっくり']],2,"['&n;', '&vs;']","['hiccup', 'hiccough']"
['し吹く'],[['しぶく']],2,"['&v5k;', '&vi;']","['to splash', 'to spray']"
['突んのめる'],[['つんのめる']],2,"['&v5r;', '&vi;']","['to pitch forward', 'to fall forward']"
['によって異なる'],[['によってことなる']],2,"['&exp;', '&v5r;']",['to differ depending on ...']
['に依る'],[['による']],2,"['&exp;', '&v5r;']","['by means of', 'due to', 'because of', 'according to']"
['のめり込む'],[['のめりこむ']],2,"['&v5m;', '&vi;']","['to be completely absorbed in', 'to fall for (something)']"
['含羞む'],[['はにかむ']],2,"['&v5m;', '&vi;']","['to be shy', 'to be bashful', 'to look shy']"
['蔓延る'],[['はびこる']],2,"['&v5r;', '&vi;']","['to become overgrown', 'to grow thick']"
['はめ倒す'],[['はめたおす']],2,['&v5s;'],['to make love']
['吹かす'],[['ふかす']],2,"['&v5s;', '&vt;']",['to smoke (a cigarette)']
['吹っ切れる'],[['ふっきれる']],2,"['&v1;', '&vi;']","[""to break through (e.g. one's doubts)"", 'to become unbound by (e.g. the past)', 'to allay (e.g. anger)', 'to put behind one', 'to move on']"
['プリプリ怒る'],"[['プリプリおこる'], ['ぷりぷりおこる']]",2,"['&exp;', '&v5r;']",['to be in a huff']
['間誤付かせる'],[['まごつかせる']],2,['&v1;'],"['to fluster', 'to abash', 'to befuddle']"
['間誤付く'],[['まごつく']],2,"['&v5k;', '&vi;']","['to be confused', 'to be flustered', 'to be at a loss']"
['寄越す'],[['よこす']],2,"['&v5s;', '&vt;']","['to send', 'to forward']"
['ダメ押し'],"[['ダメおし'], ['だめおし']]",2,"['&n;', '&vs;', '&adj-no;']",['making doubly sure']
['チクチク痛む'],"[['チクチクいたむ'], ['ちくちくいたむ']]",2,"['&exp;', '&v5m;']","['to prickle', 'to tingle']"
['悪に傾く'],[['あくにかたむく']],2,"['&exp;', '&v5k;']",['to be inclined to evil']
